,word,score,frequency,feature_proportion,eojeol_proportion,josa_variety,unique_josa_proportion
12649,내동댕이,1.0,5,0.6666666666666666,0.4,2,1.0
12650,한마디,0.8318145542168676,122,0.9764705882352941,0.30327868852459017,10,0.8333333333333334
12651,투르,1.0,37,0.9090909090909091,0.7027027027027027,1,1.0
12652,연말콘서트,0.666578,4,1.0,0.25,1,0.5
12653,레드나이츠,0.7892997368421052,29,1.0,0.3448275862068966,2,0.6666666666666666
12654,상무위원,0.6661233333333333,33,0.09090909090909091,0.0,1,0.5
12655,제고방안,0.99972,3,1.0,0.0,1,1.0
12656,카라코시,0.9985205,3,1.0,0.3333333333333333,2,1.0
12657,시류,0.9996816666666667,5,1.0,0.4,2,1.0
12658,유펜타,0.5658934666666667,70,1.0,0.5714285714285714,4,0.6666666666666666
12659,시장상황,0.6284890833333333,12,1.0,0.0,3,1.0
12660,사전예고,0.505755,4,1.0,0.75,1,1.0
12661,2000,0.29852912499999995,520,0.1038961038961039,0.11153846153846154,2,0.3333333333333333
12662,오너들,0.7994844000000001,6,1.0,0.16666666666666666,2,0.6666666666666666
12663,아동복지시설,0.0,9,0.0,1.0,0,0.0
12664,행정서류,0.999605,4,1.0,0.5,1,1.0
12665,부실,0.9563459642857145,235,0.4666666666666667,0.23404255319148937,19,1.0
12666,타입,0.7672643837209302,137,0.8349514563106796,0.24817518248175183,13,0.9285714285714286
12667,홍보문자,0.507757,3,1.0,0.3333333333333333,2,1.0
12668,6500원,0.999725,5,1.0,0.8,1,1.0
12669,코미디무비,0.999605,3,1.0,0.0,1,1.0
12670,경징계,0.9996625,3,1.0,0.3333333333333333,2,1.0
12671,특수,0.9088140454545456,540,0.04899777282850779,0.1685185185185185,6,0.8571428571428571
12672,학술세미나,0.8582044285714286,7,1.0,0.0,4,1.0
12673,제21조,0.0,3,0.0,1.0,0,0.0
12674,톱스타,0.9928386,19,0.6666666666666666,0.21052631578947367,4,1.0
12675,추태,0.6872284375,16,1.0,0.0,1,0.5
12676,난처,0.997391,21,0.3333333333333333,0.0,3,1.0
12677,2백,0.523375,20,0.7333333333333333,0.25,2,0.6666666666666666
12678,매칭데,0.9189853636363636,12,0.9166666666666666,0.0,2,1.0
12679,11만5000원,0.9969783333333333,4,1.0,0.25,2,1.0
